"MechanisticTarget","MT_NCIm_term","asid","aid","anm","acid","acnm","aeid","aenm"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",1,533,"ACEA_AR_agonist",1829,"ACEA_AR_agonist_80hr",1855,"ACEA_AR_agonist_80hr"
"Cell Viability","Cell Viability Process",1,533,"ACEA_AR_agonist",1802,"ACEA_AR_agonist_AUC_viability",1850,"ACEA_AR_agonist_AUC_viability"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",1,534,"ACEA_AR_antagonist",1830,"ACEA_AR_antagonist_80hr",1856,"ACEA_AR_antagonist_80hr"
"Cell Viability","Cell Viability Process",1,534,"ACEA_AR_antagonist",1831,"ACEA_AR_antagonist_AUC_viability",1857,"ACEA_AR_antagonist_AUC_viability"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",1,1,"ACEA_ER",1,"ACEA_ER_80hr",2,"ACEA_ER_80hr"
"Cell Viability","Cell Viability Process",1,1,"ACEA_ER",1804,"ACEA_ER_AUC_viability",1852,"ACEA_ER_AUC_viability"
"Cell Cycle","Cell Cycle",2,2,"APR_HepG2_1hr",2,"APR_HepG2_CellCycleArrest_1hr",4,"APR_HepG2_CellCycleArrest_1hr"
"Cell Cycle","Cell Cycle",2,3,"APR_HepG2_24hr",12,"APR_HepG2_CellCycleArrest_24hr",24,"APR_HepG2_CellCycleArrest_24hr"
"Cell Cycle","Cell Cycle",2,4,"APR_HepG2_72hr",22,"APR_HepG2_CellCycleArrest_72hr",44,"APR_HepG2_CellCycleArrest_72hr"
"Cell Cycle","Cell Cycle",2,2,"APR_HepG2_1hr",3,"APR_HepG2_CellLoss_1hr",6,"APR_HepG2_CellLoss_1hr"
"Cell Cycle","Cell Cycle",2,3,"APR_HepG2_24hr",13,"APR_HepG2_CellLoss_24hr",26,"APR_HepG2_CellLoss_24hr"
"Cell Cycle","Cell Cycle",2,4,"APR_HepG2_72hr",23,"APR_HepG2_CellLoss_72hr",46,"APR_HepG2_CellLoss_72hr"
"Cell Morphology","Cell Viability Process",2,2,"APR_HepG2_1hr",4,"APR_HepG2_MicrotubuleCSK_1hr",8,"APR_HepG2_MicrotubuleCSK_1hr"
"Cell Morphology","Cell Viability Process",2,3,"APR_HepG2_24hr",14,"APR_HepG2_MicrotubuleCSK_24hr",28,"APR_HepG2_MicrotubuleCSK_24hr"
