INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,INCHIKEY,INCHI_STRING
CTXQVLLVFBNZKL-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
MWOFPQAPILIIPR-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
RANGFOQREJPKIH-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
MHZVWXOKIRZLCJ-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GBDGOAVPCDIMFE-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
QFKRKMXPKBHGGO-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
NKCFJIIVGLENIK-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
NKCFJIIVGLENIK-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
CPCRJSQNWHCGOP-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
KEEQQEKLEZRLDS-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
MXLWQNCWIIZUQT-UHFFFAOYSA-N,InChIKey,DTXSID00960897,"6,11-Dihydroxy-8,9-bis(2-hydroxypropyl)-7,10-dimethoxy-2H-perylo[1,12-def][1,3]dioxepine-5,12-dione",MXLWQNCWIIZUQT-UHFFFAOYSA-N,"InChI=1/C29H26O10/c1-10(30)5-12-18-19-13(6-11(2)31)29(37-4)27(35)21-15(33)8-17-23(25(19)21)22-16(38-9-39-17)7-14(32)20(24(18)22)26(34)28(12)36-3/h7-8,10-11,30-31,34-35H,5-6,9H2,1-4H3
"
SJCPVUVBUQDGKN-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
SJCPVUVBUQDGKN-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GTONGKBINDTWOM-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GTONGKBINDTWOM-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
MUACSCLQRGEGOE-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
ZRTGPZGAMCJZNA-UHFFFAOYSA-N,InChIKey,DTXSID90891848,Stachybocin B,ZRTGPZGAMCJZNA-UHFFFAOYSA-N,"InChI=1/C52H70N2O11/c1-26-12-14-38-47(3,4)40(58)16-17-49(38,7)51(26)21-30-35(55)19-28-32(41(30)64-51)24-53(44(28)60)18-10-9-11-34(46(62)63)54-25-33-29(45(54)61)20-36(56)31-22-52(65-42(31)33)27(2)13-15-39-48(5,6)43(59)37(57)23-50(39,52)8/h19-20,26-27,34,37-40,43,55-59H,9-18,21-25H2,1-8H3,(H,62,63)
"
YTVPBUCDNKECDB-UHFFFAOYSA-N,InChIKey,DTXSID70891841,Phacidin,YTVPBUCDNKECDB-UHFFFAOYSA-N,"InChI=1S/C16H22O5/c1-3-4-5-6-7-8-9-13(18)15-14(19)10-12(11-17)21-16(15)20-2/h10-11H,3-9H2,1-2H3
"
QXYMNBLAEDQYLV-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
YEVSOYBNHBOQJZ-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
NNCYWYKIMLRIRQ-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
JKXUAFUJOVITSU-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
SMUNNMAWNRFDPB-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
DEMDOYQPCDXCEB-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
BDGOANHBKYFDGC-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
PFMGWOVPHHEHAL-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
IYDKWWDUBYWQGF-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
KNGPFNUOXXLKCN-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
WCNJVJCYRBJSLC-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
WCNJVJCYRBJSLC-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GWGKNTICBPKKKW-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GWGKNTICBPKKKW-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
FFCLYSVFZQXUHI-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
GRJSOZDXIUZXEW-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
DEUCVOIWOGPZGS-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
ZRWKFXOGNFQPMY-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
VCAGNEUDNVLWPT-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
CRQZWNMPCIFJKX-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
QURRTAYEASAREY-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
AHDUXXXZGSWYHF-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
AHDUXXXZGSWYHF-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
NHKCCADZVLTPPO-UHFFFAOYSA-N,InChIKey,DTXSID00181161,Nocardamine,NHKCCADZVLTPPO-UHFFFAOYSA-N,"InChI=1S/C27H48N6O9/c34-22-10-14-26(38)32(41)20-8-3-6-18-30-24(36)12-15-27(39)33(42)21-9-2-5-17-29-23(35)11-13-25(37)31(40)19-7-1-4-16-28-22/h40-42H,1-21H2,(H,28,34)(H,29,35)(H,30,36)
"
SATIISJKSAELDC-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
SATIISJKSAELDC-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
CTBBEXWJRAPJIZ-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
BTVYFIMKUHNOBZ-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
HQEBGENSMXBRMP-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
BKUKTJSDOUXYFL-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
CGIGDMFJXJATDK-UHFFFAOYSA-N,InChIKey,DTXSID9020740,Indomethacin,CGIGDMFJXJATDK-UHFFFAOYSA-N,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)
"
GPTONYMQFTZPKC-UHFFFAOYSA-N,InChIKey,DTXSID5023613,Sulfameter,GPTONYMQFTZPKC-UHFFFAOYSA-N,"InChI=1S/C11H12N4O3S/c1-18-9-6-13-11(14-7-9)15-19(16,17)10-4-2-8(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)
"
JYGXADMDTFJGBT-UHFFFAOYSA-N,Searched by Inchi Key: Found 0 results,N/A,N/A,N/A,N/A
