DTXSID,GUID
DTXSID001006774,259aabbe-6f18-4807-b1b1-71b6225f39f3
DTXSID001009942,4b624c5a-2386-4906-b276-78bd4d818bfd
DTXSID00146058,a56fc729-228b-4fac-bcbb-8f4dd31693b7
DTXSID00146058,fe729797-a949-4f96-aba7-14d9a802ab32
DTXSID00150610,b823feb1-6a1d-4b17-b140-db0c106f4e7f
DTXSID00152316,2587c46a-78d4-4a61-a033-a95aa6092e32
DTXSID00155362,9a0ede79-d3f0-4d51-bccf-05c40bcc06ca
DTXSID00155362,7f6bf51b-3a05-40b7-bddf-55b2015128db
DTXSID00155903,ba006c2a-95f0-4b7a-b4cf-a78d80cd31d4
DTXSID00157285,98a33736-fd1a-47ce-9ad0-a6f226bdd974
DTXSID00157285,f2442206-a07a-4811-9675-cb03d42d9682
DTXSID00157826,c9d92fac-8332-4100-aaa6-e238db1b03f3
DTXSID00157902,49cf808d-25e7-4238-a474-2ec74af05b76
DTXSID00167107,1ad9ec63-ba64-4b01-a76c-5c21513a81ca
DTXSID00168371,e7dbb858-bc2e-47ff-b88a-db38112ecc8d
DTXSID00173127,34f94c9b-275a-460d-bb1e-aff70476d968
DTXSID00173602,0cbdc014-dbed-442e-ada3-13e783e9973b
DTXSID00174078,254bf7ae-1d0a-4994-b20b-575d4e28e674
DTXSID00174078,2b9b12ad-40bb-45f2-8b65-85303c411398
DTXSID00174250,8225d841-263d-40ce-85d1-8ed5bab2331e
DTXSID00179048,4b990ee7-f671-4d76-955e-988df24bfd76
DTXSID00179902,d6624fea-e34f-4c2f-ad42-d8eb9279a4fd
DTXSID00182193,420a746a-c7b2-495e-93c3-150d77c3f04f
DTXSID00182996,f2aa3b37-ad13-4d8b-8e95-4fc7c5b3a9fd
DTXSID00185785,9d930454-e621-4ba4-9be0-1ab72c7db93f
DTXSID00194796,52c1b3c7-f33c-4233-8833-b07eb4d56ffc
DTXSID00197020,62b22fd5-51c6-42e4-af48-744f7abc9f0b
DTXSID00197383,274a80a4-387b-4847-95ce-1a9a35cada6b
DTXSID00197383,d3b564b0-8be0-4c3e-9c94-938160c6b3ed
DTXSID00197383,56b67e24-ec4f-4771-9f63-e1f403796300
DTXSID00197383,b3077efb-b22f-45b5-ade8-fdc31240cecb
DTXSID00197560,485469ec-46dd-46c1-ba14-3f637f33d5b1
DTXSID00197560,1836a8c6-de5d-4ef2-8945-291e265464db
DTXSID00197565,d7604342-fcbc-4229-9caf-a108832c9b79
DTXSID00197565,5af5c2ae-3034-4c71-958f-9def985a955b
DTXSID00199549,a3f5f60a-30b5-40fe-a209-b136afb72774
